County,State,CBSA Code,CBSA Title,Latitude,Longitude
Cameron Parish,Louisiana,29340,"Lake Charles, LA",29.8434436,-93.17796589999999
Campbell County,Tennessee,28940,"Knoxville, TN",36.3817326,-84.1857115
Campbell County,Virginia,31340,"Lynchburg, VA",37.221014,-79.1096901
Campbell County,Kentucky,17140,"Cincinnati, OH-KY-IN",38.8951891,-84.3962535
Camuy Municipio,Puerto Rico,11640,"Arecibo, PR",18.451728,-66.85357490000001
Canadian County,Oklahoma,36420,"Oklahoma City, OK",35.5593784,-98.04651849999999
Cannon County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",35.8070317,-86.05296039999999
Canóvanas Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.3748748,-65.8997533
Canyon County,Idaho,14260,"Boise City, ID",43.67795810000001,-116.6865435
Cape Girardeau County,Missouri,16020,"Cape Girardeau, MO-IL",37.3821319,-89.62516459999999
Cape May County,New Jersey,36140,"Ocean City, NJ",39.105884,-74.8273184
Carbon County,Montana,13740,"Billings, MT",45.2820195,-109.100255
Carbon County,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",40.901975,-75.667356
Carlton County,Minnesota,20260,"Duluth, MN-WI",46.5619247,-92.6847226
Carolina Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.3736316,-65.9630925
Caroline County,Virginia,40060,"Richmond, VA",38.0445557,-77.2864879
Carroll County,Maryland,12580,"Baltimore-Columbia-Towson, MD",39.5423418,-77.0564464
Carroll County,Indiana,29200,"Lafayette-West Lafayette, IN",40.542415,-86.5400674
Carroll County,Ohio,15940,"Canton-Massillon, OH",40.5328331,-81.0754657
Carroll County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.5642239,-85.0649071
Carson City,Nevada,16180,"Carson City, NV",39.1637984,-119.7674034
Carson County,Texas,11100,"Amarillo, TX",35.4578717,-101.4339148
Carter County,Tennessee,27740,"Johnson City, TN",36.2638604,-82.12783999999999
Carver County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",44.82543099999999,-93.7841503
Cascade County,Montana,24500,"Great Falls, MT",47.4688355,-111.5453227
Cass County,North Dakota,22020,"Fargo, ND-MN",47.071168,-97.12155790000001
Cass County,Nebraska,36540,"Omaha-Council Bluffs, NE-IA",40.8755529,-96.15269850000001
Cass County,Michigan,43780,"South Bend-Mishawaka, IN-MI",41.9299158,-86.0121573
Cass County,Missouri,28140,"Kansas City, MO-KS",38.6574448,-94.315422
Cataño Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.4465355,-66.1355775
Catawba County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC",35.6840748,-81.2518833
Catoosa County,Georgia,16860,"Chattanooga, TN-GA",34.8981727,-85.14793639999999
Cayey Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.1119051,-66.166
Cecil County,Maryland,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.5739403,-75.94632399999999
Ceiba Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.2641688,-65.6483018
Centre County,Pennsylvania,44300,"State College, PA",40.8765649,-77.8367282
Chambers County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX",29.7524956,-94.6863782
Champaign County,Illinois,16580,"Champaign-Urbana, IL",40.2138865,-88.24611829999999
Charles City County,Virginia,40060,"Richmond, VA",37.4018216,-77.1485163
Charles County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.5221781,-77.10249019999999
Charleston County,South Carolina,16700,"Charleston-North Charleston, SC",32.7956561,-79.7848422
Charlotte County,Florida,39460,"Punta Gorda, FL",26.8946009,-81.909826
Charlottesville city,Virginia,16820,"Charlottesville, VA",38.0293059,-78.47667810000002
Chatham County,North Carolina,20500,"Durham-Chapel Hill, NC",35.7211289,-79.17806999999999
Chatham County,Georgia,42340,"Savannah, GA",31.9994194,-81.1196075
Chattahoochee County,Georgia,17980,"Columbus, GA-AL",32.2952274,-84.8150781
Cheatham County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",36.184749,-87.10237459999999
Chelan County,Washington,48300,"Wenatchee, WA",47.9445331,-120.6749068
Chemung County,New York,21300,"Elmira, NY",42.1362071,-76.7798172
Cherokee County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",34.2514526,-84.4802606
Chesapeake city,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",36.7682088,-76.2874927
Chester County,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",34.6707995,-81.1196075
Chester County,Tennessee,27180,"Jackson, TN",35.4270939,-88.6723578
Chester County,Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40.0010204,-75.8069082
Chesterfield County,Virginia,40060,"Richmond, VA",37.3673217,-77.6077865
Chilton County,Alabama,13820,"Birmingham-Hoover, AL",32.944392,-86.6611083
Chippewa County,Wisconsin,20740,"Eau Claire, WI",45.0673752,-91.2924666
Chisago County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",45.524828,-92.9550305
Chittenden County,Vermont,15540,"Burlington-South Burlington, VT",44.3959289,-72.9962431
Christian County,Missouri,44180,"Springfield, MO",36.99764400000001,-93.17796589999999
