City,State,CBSA Code,CBSA Title,Latitude,Longitude
Cincinnati,Ohio,17140,"Cincinnati, OH-KY-IN",39.1031182,-84.5120196
Claremont,New Hampshire,17200,"Claremont-Lebanon, NH-VT",43.3728635,-72.3378744
Lebanon,New Hampshire,17200,"Claremont-Lebanon, NH-VT",43.6422934,-72.2517569
Clarksburg,West Virginia,17220,"Clarksburg, WV",39.2806451,-80.3445341
Clarksdale,Mississippi,17260,"Clarksdale, MS",34.2001086,-90.5709323
Clarksville,Tennessee,17300,"Clarksville, TN-KY",36.5297706,-87.3594528
Clearlake,California,17340,"Clearlake, CA",38.9582307,-122.6263728
Cleveland,Mississippi,17380,"Cleveland, MS",33.7440023,-90.7248187
Cleveland,Tennessee,17420,"Cleveland, TN",35.1595182,-84.8766115
Cleveland,Ohio,17460,"Cleveland-Elyria, OH",41.49932,-81.6943605
Elyria,Ohio,17460,"Cleveland-Elyria, OH",41.3683798,-82.1076486
Clewiston,Florida,17500,"Clewiston, FL",26.7542312,-80.9336753
Clinton,Iowa,17540,"Clinton, IA",41.8444735,-90.1887379
Clovis,New Mexico,17580,"Clovis, NM",34.4047987,-103.2052272
Coamo,Puerto Rico,17620,"Coamo, PR",18.0799616,-66.3579473
Coco,Puerto Rico,17640,"Coco, PR",18.4474018,-66.6821821
Coeur d'Alene,Idaho,17660,"Coeur d'Alene, ID",47.6734632,-116.7812225
Coffeyville,Kansas,17700,"Coffeyville, KS",37.0373005,-95.6163665
Coldwater,Michigan,17740,"Coldwater, MI",41.9403263,-85.0005215
Bryan,Texas,17780,"College Station-Bryan, TX",30.6743643,-96.3699632
College Station,Texas,17780,"College Station-Bryan, TX",30.627977,-96.3344068
Colorado Springs,Colorado,17820,"Colorado Springs, CO",38.8338816,-104.8213634
Columbia,Missouri,17860,"Columbia, MO",38.9517053,-92.3340724
Columbia,South Carolina,17900,"Columbia, SC",34.0007104,-81.0348144
Columbus,Georgia,17980,"Columbus, GA-AL",32.4609764,-84.9877094
Columbus,Indiana,18020,"Columbus, IN",39.2014404,-85.9213796
Columbus,Mississippi,18060,"Columbus, MS",33.4956744,-88.4272627
Columbus,Nebraska,18100,"Columbus, NE",41.4302973,-97.3593904
Columbus,Ohio,18140,"Columbus, OH",39.9611755,-82.9987942
Concord,New Hampshire,18180,"Concord, NH",43.2081366,-71.5375718
Connersville,Indiana,18220,"Connersville, IN",39.6411589,-85.1410748
Cookeville,Tennessee,18260,"Cookeville, TN",36.162839,-85.5016423
Coos Bay,Oregon,18300,"Coos Bay, OR",43.3665007,-124.2178903
Cordele,Georgia,18380,"Cordele, GA",31.9635074,-83.7823938
Corinth,Mississippi,18420,"Corinth, MS",34.9342548,-88.5222702
Cornelia,Georgia,18460,"Cornelia, GA",34.5114883,-83.5271166
Corning,New York,18500,"Corning, NY",42.1428521,-77.0546903
Corpus Christi,Texas,18580,"Corpus Christi, TX",27.8005828,-97.396381
Corsicana,Texas,18620,"Corsicana, TX",32.0954304,-96.4688727
Cortland,New York,18660,"Cortland, NY",42.6011813,-76.1804843
Corvallis,Oregon,18700,"Corvallis, OR",44.5645659,-123.2620435
Coshocton,Ohio,18740,"Coshocton, OH",40.2720151,-81.8595756
Craig,Colorado,18780,"Craig, CO",40.5152491,-107.5464541
Crawfordsville,Indiana,18820,"Crawfordsville, IN",40.0411536,-86.8744516
Crescent City,California,18860,"Crescent City, CA",41.7557501,-124.2025913
Crestview,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL",30.7541808,-86.5727995
Destin,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL",30.3935337,-86.4957833
Fort Walton Beach,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL",30.4200708,-86.6170308
Crossville,Tennessee,18900,"Crossville, TN",35.9489566,-85.0269014
Cullman,Alabama,18980,"Cullman, AL",34.1748208,-86.8436124
Cullowhee,North Carolina,19000,"Cullowhee, NC",35.3137111,-83.1765333
Cumberland,Maryland,19060,"Cumberland, MD-WV",39.6528654,-78.7625185
Arlington,Texas,19100,"Dallas-Fort Worth-Arlington, TX",32.735687,-97.1080656
Dallas,Texas,19100,"Dallas-Fort Worth-Arlington, TX",32.7766642,-96.7969879
Denton,Texas,19100,"Dallas-Fort Worth-Arlington, TX",33.2148412,-97.1330683
Fort Worth,Texas,19100,"Dallas-Fort Worth-Arlington, TX",32.7554883,-97.3307658
Irving,Texas,19100,"Dallas-Fort Worth-Arlington, TX",32.8140177,-96.9488945
Plano,Texas,19100,"Dallas-Fort Worth-Arlington, TX",33.0198431,-96.6988856
Richardson,Texas,19100,"Dallas-Fort Worth-Arlington, TX",32.9483335,-96.7298519
Dalton,Georgia,19140,"Dalton, GA",34.7698021,-84.9702228
Danville,Illinois,19180,"Danville, IL",40.124481,-87.6300207
Danville,Kentucky,19220,"Danville, KY",37.6456329,-84.7721702
Danville,Virginia,19260,"Danville, VA",36.5859718,-79.3950228
Daphne,Alabama,19300,"Daphne-Fairhope-Foley, AL",30.6035255,-87.9036047
Fairhope,Alabama,19300,"Daphne-Fairhope-Foley, AL",30.5229719,-87.9033261
Foley,Alabama,19300,"Daphne-Fairhope-Foley, AL",30.4065868,-87.6835974
Moline,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL",41.5067003,-90.5151342
Rock Island,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL",41.5094771,-90.5787476
Davenport,Iowa,19340,"Davenport-Moline-Rock Island, IA-IL",41.5236437,-90.5776367
Dayton,Ohio,19380,"Dayton, OH",39.7589478,-84.1916069
Dayton,Tennessee,19420,"Dayton, TN",35.4939587,-85.0124535
Decatur,Alabama,19460,"Decatur, AL",34.6059253,-86.9833417
Decatur,Illinois,19500,"Decatur, IL",39.8403147,-88.9548001
Decatur,Indiana,19540,"Decatur, IN",40.830603,-84.9291329
Defiance,Ohio,19580,"Defiance, OH",41.2844933,-84.3557802
Del Rio,Texas,19620,"Del Rio, TX",29.3708857,-100.8958674
Daytona Beach,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL",29.2108147,-81.0228331
Deltona,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL",28.9005446,-81.2636738
Ormond Beach,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL",29.2858129,-81.0558894
Deming,New Mexico,19700,"Deming, NM",32.2686981,-107.7586404
Aurora,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.7294319,-104.8319195
Broomfield,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.9205411,-105.0866504
Denver,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.7392358,-104.990251
Lakewood,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.7047095,-105.0813734
DeRidder,Louisiana,19760,"DeRidder, LA",30.8463055,-93.2890527
Des Moines,Iowa,19780,"Des Moines-West Des Moines, IA",41.5868353,-93.6249593
West Des Moines,Iowa,19780,"Des Moines-West Des Moines, IA",41.5638902,-93.7593841
Dearborn,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.3222599,-83.1763145
Detroit,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.331427,-83.0457538
Farmington Hills,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.4989936,-83.3677168
Livonia,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.36837,-83.3527097
Novi,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.48059,-83.4754913
Pontiac,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.6389216,-83.2910468
Southfield,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.4733688,-83.2218731
Taylor,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.240872,-83.2696509
Troy,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.6064095,-83.1497751
Warren,Michigan,19820,"Detroit-Warren-Dearborn, MI",42.5144566,-83.0146526
Dickinson,North Dakota,19860,"Dickinson, ND",46.8791756,-102.7896242
Dixon,Illinois,19940,"Dixon, IL",41.8389213,-89.4795478
Dodge City,Kansas,19980,"Dodge City, KS",37.7527982,-100.0170787
Dothan,Alabama,20020,"Dothan, AL",31.2232313,-85.3904888
Douglas,Georgia,20060,"Douglas, GA",31.5088073,-82.8498654
Dover,Delaware,20100,"Dover, DE",39.158168,-75.5243682
Dublin,Georgia,20140,"Dublin, GA",32.5404447,-82.903754
DuBois,Pennsylvania,20180,"DuBois, PA",41.1210115,-78.7583257
Dubuque,Iowa,20220,"Dubuque, IA",42.5022661,-90.6654675
Duluth,Minnesota,20260,"Duluth, MN-WI",46.7866719,-92.1004852
Dumas,Texas,20300,"Dumas, TX",35.8653789,-101.9732236
Duncan,Oklahoma,20340,"Duncan, OK",34.5023028,-97.9578128
Dunn,North Carolina,20380,"Dunn, NC",35.3062743,-78.6089028
Durango,Colorado,20420,"Durango, CO",37.27528,-107.8800667
Durant,Oklahoma,20460,"Durant, OK",33.9924186,-96.3971233
Chapel Hill,North Carolina,20500,"Durham-Chapel Hill, NC",35.9131996,-79.0558445
Durham,North Carolina,20500,"Durham-Chapel Hill, NC",35.9940329,-78.898619
Dyersburg,Tennessee,20540,"Dyersburg, TN",36.0345159,-89.3856281
Eagle Pass,Texas,20580,"Eagle Pass, TX",28.7091433,-100.4995214
Easton,Maryland,20660,"Easton, MD",38.7742826,-76.0763305
East Stroudsburg,Pennsylvania,20700,"East Stroudsburg, PA",41.0030522,-75.1817547
