,code,n_killed,n_injured,n_guns_involved,n_incidents
669,38180,3.0,2.0,24.0,20
670,38220,51.0,40.0,145.0,96
671,38240,10.0,12.0,63.0,26
672,38260,3.0,8.0,63.0,34
673,38300,237.0,474.0,1057.0,892
674,38340,6.0,16.0,126.0,96
675,38380,1.0,2.0,3.0,3
676,38420,2.0,2.0,12.0,11
677,38460,2.0,7.0,46.0,31
678,38500,3.0,6.0,100.0,17
679,38540,8.0,14.0,53.0,47
680,38580,3.0,12.0,28.0,24
681,38620,4.0,1.0,4.0,4
682,38700,0.0,0.0,4.0,4
683,38740,16.0,6.0,31.0,27
684,38780,2.0,4.0,31.0,31
685,38820,4.0,1.0,35.0,17
686,38840,2.0,0.0,3.0,3
687,38860,19.0,26.0,183.0,116
688,38900,132.0,256.0,1187.0,831
689,38920,0.0,0.0,1.0,1
690,38940,22.0,52.0,320.0,210
691,39020,14.0,9.0,20.0,16
692,39060,7.0,18.0,32.0,32
693,39140,8.0,11.0,34.0,26
694,39220,6.0,2.0,14.0,13
695,39260,4.0,6.0,20.0,8
696,39300,44.0,186.0,925.0,676
697,39340,27.0,20.0,126.0,73
698,39380,20.0,30.0,372.0,196
699,39420,4.0,6.0,17.0,15
700,39460,2.0,1.0,21.0,19
701,39500,3.0,12.0,65.0,52
702,39540,27.0,56.0,242.0,164
703,39580,65.0,124.0,253.0,194
704,39660,17.0,22.0,125.0,82
705,39700,3.0,1.0,2.0,2
706,39740,43.0,58.0,157.0,97
707,39780,16.0,22.0,169.0,154
708,39820,23.0,20.0,101.0,63
709,39860,2.0,3.0,23.0,21
710,39900,47.0,75.0,257.0,160
711,39940,2.0,6.0,28.0,19
712,39980,16.0,30.0,88.0,72
713,40060,192.0,447.0,808.0,727
714,40080,21.0,21.0,123.0,47
715,40100,4.0,3.0,5.0,5
716,40140,365.0,408.0,1929.0,1067
717,40180,3.0,6.0,13.0,10
718,40220,36.0,88.0,181.0,147
719,40260,18.0,38.0,64.0,55
720,40300,5.0,4.0,19.0,16
721,40340,3.0,17.0,187.0,119
722,40380,53.0,214.0,481.0,381
723,40420,46.0,267.0,730.0,596
724,40460,16.0,7.0,21.0,19
725,40540,1.0,0.0,5.0,2
726,40580,24.0,34.0,119.0,87
727,40620,10.0,11.0,38.0,32
728,40660,20.0,29.0,201.0,171
729,40700,19.0,15.0,47.0,20
730,40740,16.0,12.0,68.0,65
731,40760,3.0,3.0,6.0,6
732,40780,17.0,9.0,25.0,25
733,40820,11.0,14.0,28.0,26
734,40860,5.0,6.0,76.0,49
735,40900,151.0,236.0,839.0,432
736,40940,3.0,8.0,30.0,13
737,40980,31.0,80.0,144.0,131
738,41060,8.0,15.0,62.0,55
739,41100,4.0,7.0,37.0,29
740,41140,14.0,22.0,63.0,60
741,41180,801.0,1221.0,2516.0,2159
742,41220,11.0,8.0,40.0,27
743,41260,2.0,2.0,9.0,9
744,41400,8.0,6.0,30.0,22
745,41420,25.0,29.0,510.0,106
746,41460,5.0,13.0,116.0,70
747,41500,75.0,88.0,302.0,251
748,41540,26.0,49.0,205.0,136
749,41620,98.0,178.0,607.0,445
750,41660,17.0,16.0,78.0,58
751,41700,360.0,580.0,1035.0,931
752,41740,126.0,144.0,850.0,341
753,41760,12.0,4.0,34.0,26
754,41780,5.0,22.0,66.0,60
755,41820,18.0,20.0,59.0,43
756,41860,369.0,668.0,1368.0,1116
757,41940,82.0,74.0,260.0,223
758,42020,5.0,13.0,27.0,25
759,42100,16.0,31.0,137.0,105
760,42140,8.0,6.0,77.0,68
761,42200,19.0,12.0,220.0,58
762,42220,15.0,31.0,125.0,85
763,42300,4.0,1.0,9.0,9
764,42340,66.0,190.0,377.0,322
765,42380,2.0,4.0,53.0,19
766,42420,1.0,2.0,12.0,11
767,42460,2.0,3.0,8.0,8
768,42540,45.0,83.0,421.0,309
769,42620,12.0,4.0,24.0,21
770,42660,290.0,449.0,1996.0,1173
771,42680,29.0,48.0,192.0,150
772,42700,5.0,13.0,29.0,23
773,42740,6.0,9.0,21.0,20
774,42780,2.0,1.0,10.0,8
775,42820,36.0,57.0,198.0,92
776,42860,14.0,27.0,48.0,40
777,42900,3.0,8.0,70.0,40
778,42940,2.0,5.0,19.0,13
779,42980,7.0,6.0,52.0,33
780,43020,2.0,5.0,21.0,20
781,43060,11.0,15.0,102.0,28
782,43100,4.0,8.0,28.0,26
783,43140,8.0,7.0,29.0,20
784,43180,1.0,2.0,11.0,7
785,43220,5.0,1.0,13.0,11
