,City,State,CBSA Code,CBSA Title
263,Corning,New York,18500,"Corning, NY"
264,Corpus Christi,Texas,18580,"Corpus Christi, TX"
265,Corsicana,Texas,18620,"Corsicana, TX"
266,Cortland,New York,18660,"Cortland, NY"
267,Corvallis,Oregon,18700,"Corvallis, OR"
268,Coshocton,Ohio,18740,"Coshocton, OH"
269,Craig,Colorado,18780,"Craig, CO"
270,Crawfordsville,Indiana,18820,"Crawfordsville, IN"
271,Crescent City,California,18860,"Crescent City, CA"
272,Crestview,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL"
273,Destin,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL"
274,Fort Walton Beach,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL"
275,Crossville,Tennessee,18900,"Crossville, TN"
276,Cullman,Alabama,18980,"Cullman, AL"
277,Cullowhee,North Carolina,19000,"Cullowhee, NC"
278,Cumberland,Maryland,19060,"Cumberland, MD-WV"
279,Arlington,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
280,Dallas,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
281,Denton,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
282,Fort Worth,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
283,Irving,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
284,Plano,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
285,Richardson,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
286,Dalton,Georgia,19140,"Dalton, GA"
287,Danville,Illinois,19180,"Danville, IL"
288,Danville,Kentucky,19220,"Danville, KY"
289,Danville,Virginia,19260,"Danville, VA"
290,Daphne,Alabama,19300,"Daphne-Fairhope-Foley, AL"
291,Fairhope,Alabama,19300,"Daphne-Fairhope-Foley, AL"
292,Foley,Alabama,19300,"Daphne-Fairhope-Foley, AL"
293,Moline,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL"
294,Rock Island,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL"
295,Davenport,Iowa,19340,"Davenport-Moline-Rock Island, IA-IL"
296,Dayton,Ohio,19380,"Dayton, OH"
297,Dayton,Tennessee,19420,"Dayton, TN"
298,Decatur,Alabama,19460,"Decatur, AL"
299,Decatur,Illinois,19500,"Decatur, IL"
300,Decatur,Indiana,19540,"Decatur, IN"
301,Defiance,Ohio,19580,"Defiance, OH"
302,Del Rio,Texas,19620,"Del Rio, TX"
303,Daytona Beach,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
304,Deltona,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
305,Ormond Beach,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
306,Deming,New Mexico,19700,"Deming, NM"
307,Aurora,Colorado,19740,"Denver-Aurora-Lakewood, CO"
308,Broomfield,Colorado,19740,"Denver-Aurora-Lakewood, CO"
309,Denver,Colorado,19740,"Denver-Aurora-Lakewood, CO"
310,Lakewood,Colorado,19740,"Denver-Aurora-Lakewood, CO"
311,DeRidder,Louisiana,19760,"DeRidder, LA"
312,Des Moines,Iowa,19780,"Des Moines-West Des Moines, IA"
313,West Des Moines,Iowa,19780,"Des Moines-West Des Moines, IA"
314,Dearborn,Michigan,19820,"Detroit-Warren-Dearborn, MI"
315,Detroit,Michigan,19820,"Detroit-Warren-Dearborn, MI"
316,Farmington Hills,Michigan,19820,"Detroit-Warren-Dearborn, MI"
317,Livonia,Michigan,19820,"Detroit-Warren-Dearborn, MI"
318,Novi,Michigan,19820,"Detroit-Warren-Dearborn, MI"
319,Pontiac,Michigan,19820,"Detroit-Warren-Dearborn, MI"
320,Southfield,Michigan,19820,"Detroit-Warren-Dearborn, MI"
321,Taylor,Michigan,19820,"Detroit-Warren-Dearborn, MI"
322,Troy,Michigan,19820,"Detroit-Warren-Dearborn, MI"
323,Warren,Michigan,19820,"Detroit-Warren-Dearborn, MI"
